action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,pIC50
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,24773896,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '0.5', 'text_value': None, 'type': 'Time', 'units': 'min', 'value': '30.0'}]",CHEMBL5127377,Inhibition of GST-fused human recombinant DYRK1A expressed in Escherichia coli using GRSRSRSRSRSR peptide as substrate incubated for 30 mins in presence of ATP by scintillation counting method,B,,,BAO_0000190,BAO_0000019,assay format,O=C1NC(Nc2ccc(N3CCNCC3)cc2)=N/C1=C\c1ccc2c(c1)OC=CO2,,,CHEMBL5126517,J Med Chem,2022,"{'bei': '15.56', 'le': '0.29', 'lle': '4.00', 'sei': '7.20'}",CHEMBL5173265,,CHEMBL5173265,6.28,0,http://www.openphacts.org/units/Nanomolar,3865975,=,1,1,=,,IC50,nM,,530.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.53,6.276
,,18410222,[],CHEMBL4151857,Inhibition of DYRK1A (unknown origin) using DYRKtide as substrate by ATP regenerative NADH consuming assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1ccc2cnc3ccc(-c4cn[nH]c4)cc3c2n1-c1ccc(F)cc1C(F)(F)F,,,CHEMBL4145687,J Med Chem,2018,"{'bei': '14.78', 'le': '0.28', 'lle': '1.18', 'sei': '9.87'}",CHEMBL1765714,,CHEMBL1765714,6.27,0,http://www.openphacts.org/units/Nanomolar,3055611,=,1,1,=,,IC50,nM,,532.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,532.0,6.274
,,6176656,[],CHEMBL1771957,Inhibition of Dyrk1A kinase using ATP as substrate by 33P radiolabeled kinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,c1nc(NCCc2c[nH]cn2)c2cc(-c3ccc4c(c3)OCO4)ccc2n1,,,CHEMBL1770051,Bioorg Med Chem Lett,2011,"{'bei': '17.44', 'le': '0.32', 'lle': '2.87', 'sei': '7.38'}",CHEMBL1515868,,CHEMBL1515868,6.27,0,http://www.openphacts.org/units/Nanomolar,1418956,=,1,1,=,,IC50,nM,,541.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,541.0,6.267
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,24846242,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '0.5', 'text_value': None, 'type': 'Time', 'units': 'min', 'value': '30.0'}]",CHEMBL5146812,Inhibition of DYRK1A (unknown origin) using HT-497 as substrate preincubated with compound followed by substrate addition and measured after 30 mins in the presence of ATP by ELISA analysis,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(C(=O)O[C@@H]2Cc3c(O)cc(O)cc3O[C@H]2c2cc(O)c(O)c(O)c2)ccc(O)c1O,,,CHEMBL5143627,Bioorg Med Chem Lett,2022,"{'bei': '13.71', 'le': '0.26', 'lle': '3.42', 'sei': '3.53'}",CHEMBL5173568,,CHEMBL5173568,6.26,0,http://www.openphacts.org/units/Nanomolar,3881109,=,1,1,=,,IC50,nM,,553.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,553.0,6.257
,,6176657,[],CHEMBL1771957,Inhibition of Dyrk1A kinase using ATP as substrate by 33P radiolabeled kinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccsc1CN(C)c1ncnc2ccc(-c3ccc(CO)o3)cc12,,,CHEMBL1770051,Bioorg Med Chem Lett,2011,"{'bei': '17.11', 'le': '0.33', 'lle': '1.86', 'sei': '10.02'}",CHEMBL1476609,,CHEMBL1476609,6.25,0,http://www.openphacts.org/units/Nanomolar,1419158,=,1,1,=,,IC50,nM,,557.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,557.0,6.254
,,13341587,[],CHEMBL2394340,Inhibition of DYRK1A (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(-c2ccnc(NCc3ccc(Cl)cc3)n2)cc1,,,CHEMBL2390846,Bioorg Med Chem Lett,2013,"{'bei': '19.19', 'le': '0.37', 'lle': '1.83', 'sei': '13.29'}",CHEMBL2392359,,CHEMBL2392359,6.25,0,http://www.openphacts.org/units/Nanomolar,1900408,=,1,1,=,,IC50,nM,,558.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,558.0,6.253
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22424833,[],CHEMBL4674732,Inhibition of DYRK1a (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,CC1(C)Cc2cc(OC3CCNCC3)ccc2-c2ncnc(N)c21,,,CHEMBL4673215,Bioorg Med Chem Lett,2018,"{'bei': '19.27', 'le': '0.36', 'lle': '3.56', 'sei': '8.56'}",CHEMBL4758817,,CHEMBL4758817,6.25,0,http://www.openphacts.org/units/Nanomolar,3514175,=,1,1,=,,IC50,nM,,560.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.56,6.252
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25709641,[],CHEMBL5387885,Inhibition of human full length recombinant DYRK1A assessed as remaining activity using RRRFRPASPLRGPP as substrate by [gamma-32P]ATP binding based scintillation counting based analysis,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ccc(-c2c[nH]c3ncc(NCc4cc(F)cc(F)c4)cc23)cc1,,,CHEMBL5385882,Eur J Med Chem,2023,"{'bei': '17.84', 'le': '0.33', 'lle': '1.55', 'sei': '9.37'}",CHEMBL5436022,,CHEMBL5436022,6.25,0,http://www.openphacts.org/units/Nanomolar,4007751,=,1,1,=,,IC50,nM,,561.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,561.0,6.251
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22933022,[],CHEMBL4739019,Inhibition of human full length recombinant DYRK1A using RRRFRPASPLRGPP substrate by radiometric scintillation assay,B,,,BAO_0000190,BAO_0000357,single protein format,CN1CCC(c2cccc(-c3coc4ccc(-c5cnn(C)c5)nc34)c2)CC1,,,CHEMBL4732242,Eur J Med Chem,2021,"{'bei': '16.77', 'le': '0.30', 'lle': '1.55', 'sei': '13.26'}",CHEMBL4741919,,CHEMBL4741919,6.25,0,http://www.openphacts.org/units/Nanomolar,3560795,=,1,1,=,,IC50,nM,,568.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,568.0,6.246
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25623763,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '60.0'}]",CHEMBL5363958,Inhibition of human DYRK1A using RBERCHKtide and [gamma33P]ATP as substrate incubated for 60 mins by radiometric 33PanQinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cn1cc2cc(/C=C3\N=C(NC4CCCCC4)NC3=O)ccc2n1,,,CHEMBL5360622,J Med Chem,2023,"{'bei': '19.31', 'le': '0.36', 'lle': '3.92', 'sei': '8.76'}",CHEMBL5396119,,CHEMBL5396119,6.24,0,http://www.openphacts.org/units/Nanomolar,3991333,=,1,1,=,,IC50,nM,,570.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.57,6.244
,,18193177,[],CHEMBL4041963,Inhibition of GST tagged recombinant human DYRK1A expressed in Escherichia coli using woodtide as substrate after 30 mins by [gamma-33P]ATP based scintillation counting analysis,B,,,BAO_0000190,BAO_0000019,assay format,CSc1ccc2ncc(-c3ccc4[nH]ccc4c3)n2n1,,,CHEMBL4041493,Eur J Med Chem,2017,"{'bei': '22.24', 'le': '0.43', 'lle': '2.64', 'sei': '13.56'}",CHEMBL4090223,,CHEMBL4090223,6.24,0,http://www.openphacts.org/units/Nanomolar,3018173,=,1,1,=,,IC50,nM,,580.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.58,6.237
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,24410914,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '6.0', 'text_value': None, 'type': 'Time', 'units': 'hrs', 'value': '6.0'}]",CHEMBL5046165,Inhibition of DYRK1A (unknown origin) measured after 6 hrs in presence of ATP by Z'-LYTE assay,B,,,BAO_0000190,BAO_0000357,single protein format,CN1Cc2nn(C)c(C#N)c2-c2cnc3[nH]nc(c3c2)-c2cn(nc2C(F)(F)F)CCCC1=O,,,CHEMBL5042558,ACS Med Chem Lett,2022,"{'bei': '13.28', 'le': '0.25', 'lle': '3.38', 'sei': '5.14'}",CHEMBL5089643,,CHEMBL5089643,6.24,0,http://www.openphacts.org/units/Nanomolar,3782815,=,1,1,=,,IC50,nM,,582.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,582.0,6.235
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25623884,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '60.0'}]",CHEMBL5363958,Inhibition of human DYRK1A using RBERCHKtide and [gamma33P]ATP as substrate incubated for 60 mins by radiometric 33PanQinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)C(=O)OC12CC3CC(CC(NC4=N/C(=C\c5ccc6ncsc6c5)C(=O)N4)(C3)C1)C2,,,CHEMBL5360622,J Med Chem,2023,"{'bei': '13.03', 'le': '0.25', 'lle': '1.85', 'sei': '6.73'}",CHEMBL5437649,,CHEMBL5437649,6.24,0,http://www.openphacts.org/units/Nanomolar,3991454,=,1,1,=,,IC50,nM,,582.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.582,6.235
,,18153187,[],CHEMBL4034241,Inhibition of full-length recombinant human GST-tagged Dyrk1a expressed in baculovirus expression system using Alexa-Fluor tracer-236 incubated for 60 mins by TR-FRET based Lantha-screen Eu kinase assay,B,,,BAO_0000190,BAO_0000019,assay format,Nc1nccc(-c2c[nH]c3ccccc23)n1,,,CHEMBL4033637,Bioorg Med Chem Lett,2017,"{'bei': '29.64', 'le': '0.53', 'lle': '4.02', 'sei': '9.22'}",CHEMBL48082,,CHEMBL48082,6.23,0,http://www.openphacts.org/units/Nanomolar,3011458,=,1,1,=,,IC50,nM,,588.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.588,6.231
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25709646,[],CHEMBL5387885,Inhibition of human full length recombinant DYRK1A assessed as remaining activity using RRRFRPASPLRGPP as substrate by [gamma-32P]ATP binding based scintillation counting based analysis,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ncc(-c2c[nH]c3ncc(NCc4cc(F)cc(F)c4)cc23)cn1,,,CHEMBL5385882,Eur J Med Chem,2023,"{'bei': '17.68', 'le': '0.33', 'lle': '2.74', 'sei': '6.73'}",CHEMBL5412760,,CHEMBL5412760,6.23,0,http://www.openphacts.org/units/Nanomolar,4007756,=,1,1,=,,IC50,nM,,590.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,590.0,6.229
,,6176660,[],CHEMBL1771957,Inhibition of Dyrk1A kinase using ATP as substrate by 33P radiolabeled kinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,CCNCc1ccc(-c2ccc3ncnc(NCC(C)(C)C)c3c2)o1,,,CHEMBL1770051,Bioorg Med Chem Lett,2011,"{'bei': '18.40', 'le': '0.34', 'lle': '1.77', 'sei': '9.89'}",CHEMBL1770624,,CHEMBL1770624,6.23,0,http://www.openphacts.org/units/Nanomolar,1419160,=,1,1,=,,IC50,nM,,594.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,594.0,6.226
,,16836176,[],CHEMBL3875856,Inhibition of GST-tagged human recombinant DYRK1A expressed in Escherichia coli using RS peptide as substrate incubated for 30 mins in presence of [gamma-33 P] ATP by liquid scintillation counting analysis,B,,,BAO_0000190,BAO_0000019,assay format,COc1cccc2c1[nH]c1c3ccncc3cc(C(N)=O)c21,,,CHEMBL3875174,Eur J Med Chem,2016,"{'bei': '21.36', 'le': '0.39', 'lle': '3.24', 'sei': '7.68'}",CHEMBL3884627,,CHEMBL3884627,6.22,0,http://www.openphacts.org/units/Nanomolar,2815203,=,1,1,=,,IC50,nM,,600.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.6,6.222
,,2417603,[],CHEMBL954298,Inhibition of Dyrk1 autophosphorylation,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(/C=C2\C(=O)NN(c3ccc(C#N)cc3)C2=O)ccc1O,,,CHEMBL1153959,Bioorg Med Chem Lett,2009,"{'bei': '18.55', 'le': '0.34', 'lle': '4.49', 'sei': '6.06'}",CHEMBL498718,,CHEMBL498718,6.22,0,http://www.openphacts.org/units/Nanomolar,810866,=,1,1,=,,IC50,nM,,600.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.6,6.222
,,18762142,[],CHEMBL4266676,Inhibition of human GST-fused DYRK1A expressed in Escherichia coli BL21 (DE3) using DYRKtide as substrate after 10 mins in presence of [gamma-33P]ATP,B,,,BAO_0000190,BAO_0000019,assay format,Cc1cc(=O)oc2cc3cc(O)ccc3cc12,,,CHEMBL4265878,J Med Chem,2018,"{'bei': '27.50', 'le': '0.50', 'lle': '3.26', 'sei': '12.34'}",CHEMBL4285776,,CHEMBL4285776,6.22,0,http://www.openphacts.org/units/Nanomolar,3117344,=,1,1,=,,IC50,nM,,600.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.6,6.222
,,2417600,[],CHEMBL954298,Inhibition of Dyrk1 autophosphorylation,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NN(c2ccc(Cl)c(Cl)c2)C(=O)/C1=C/c1ccc(O)c([N+](=O)[O-])c1,,,CHEMBL1153959,Bioorg Med Chem Lett,2009,"{'bei': '15.78', 'le': '0.33', 'lle': '3.15', 'sei': '5.52'}",CHEMBL511636,,CHEMBL511636,6.22,0,http://www.openphacts.org/units/Nanomolar,810752,=,1,1,=,,IC50,nM,,600.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.6,6.222
,,16836172,[],CHEMBL3875856,Inhibition of GST-tagged human recombinant DYRK1A expressed in Escherichia coli using RS peptide as substrate incubated for 30 mins in presence of [gamma-33 P] ATP by liquid scintillation counting analysis,B,,,BAO_0000190,BAO_0000019,assay format,COc1ccc2[nH]c3c4c(OC)cncc4cc(C#N)c3c2c1,,,CHEMBL3875174,Eur J Med Chem,2016,"{'bei': '20.51', 'le': '0.37', 'lle': '2.46', 'sei': '8.77'}",CHEMBL3884932,,CHEMBL3884932,6.22,0,http://www.openphacts.org/units/Nanomolar,2815207,=,1,1,=,,IC50,nM,,600.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.6,6.222
,,16506401,[],CHEMBL3778243,Inhibition of recombinant human N-terminal His6-tagged DYRK1A catalytic domain expressed in Escherichia coli BL21(DE3) cells using KKISGRLSPIMTEQ-NH2 as substrate incubated for 15 mins in presence of [gamma-32P]ATP,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1OCC/C1=C\c1ccc2c(c1)OCO2,,,CHEMBL3774321,Eur J Med Chem,2016,"{'bei': '28.51', 'le': '0.53', 'lle': '4.47', 'sei': '13.90'}",CHEMBL3193172,,CHEMBL3193172,6.22,0,http://www.openphacts.org/units/Nanomolar,2763590,=,1,1,=,,IC50,nM,,600.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.6,6.222
,,15086723,[],CHEMBL3381514,Inhibition of DYRK1A (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(Nc2cc(-c3ccncc3)n[nH]c2=O)cc1,,,CHEMBL3351708,Bioorg Med Chem Lett,2014,"{'bei': '21.12', 'le': '0.39', 'lle': '3.63', 'sei': '7.78'}",CHEMBL3338893,,CHEMBL3338893,6.21,0,http://www.openphacts.org/units/Nanomolar,2245302,=,1,1,=,,IC50,nM,,610.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.61,6.215
,,18750249,[],CHEMBL4263631,Inhibition of recombinant full length human Dyrk1A expressed in Baculovirus expression system using KKISGRLSPIMTEQ as substrate in presence of ATP,B,,,BAO_0000190,BAO_0000019,assay format,Nc1ccc(-c2cc(-c3cccnc3)cs2)cn1,,,CHEMBL4261587,Eur J Med Chem,2018,"{'bei': '24.52', 'le': '0.47', 'lle': '2.76', 'sei': '11.99'}",CHEMBL4285559,,CHEMBL4285559,6.21,0,http://www.openphacts.org/units/Nanomolar,3115465,=,1,1,=,,IC50,nM,,614.3,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,614.3,6.212
,,18762111,[],CHEMBL4266655,Inhibition of DYRK1A (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(-c2cc(=O)c3c(O)cc(O)c(C/C=C(\C)CCC=C(C)C)c3o2)ccc1O,,,CHEMBL4265878,J Med Chem,2018,"{'bei': '14.22', 'le': '0.26', 'lle': '0.39', 'sei': '6.20'}",CHEMBL4293650,,CHEMBL4293650,6.21,0,http://www.openphacts.org/units/Nanomolar,3117345,=,1,1,=,,IC50,nM,,620.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.62,6.208
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25623938,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '60.0'}]",CHEMBL5363958,Inhibition of human DYRK1A using RBERCHKtide and [gamma33P]ATP as substrate incubated for 60 mins by radiometric 33PanQinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NC(Nc2cccc(C(F)(F)F)c2)=N/C1=C\c1ccc2ncsc2c1,,,CHEMBL5360622,J Med Chem,2023,"{'bei': '15.98', 'le': '0.31', 'lle': '1.95', 'sei': '9.35'}",CHEMBL5437446,,CHEMBL5437446,6.21,0,http://www.openphacts.org/units/Nanomolar,3991508,=,1,1,=,,IC50,nM,,624.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.624,6.205
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25623981,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '60.0'}]",CHEMBL5363958,Inhibition of human DYRK1A using RBERCHKtide and [gamma33P]ATP as substrate incubated for 60 mins by radiometric 33PanQinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NC(N[C@@H]2CN3CCC2CC3)=N/C1=C\c1ccc2ncsc2c1,,,CHEMBL5360622,J Med Chem,2023,"{'bei': '17.55', 'le': '0.34', 'lle': '4.39', 'sei': '8.91'}",CHEMBL5434213,,CHEMBL5434213,6.20,0,http://www.openphacts.org/units/Nanomolar,3991551,=,1,1,=,,IC50,nM,,629.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.629,6.201
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,24773873,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '0.5', 'text_value': None, 'type': 'Time', 'units': 'min', 'value': '30.0'}]",CHEMBL5127377,Inhibition of GST-fused human recombinant DYRK1A expressed in Escherichia coli using GRSRSRSRSRSR peptide as substrate incubated for 30 mins in presence of ATP by scintillation counting method,B,,,BAO_0000190,BAO_0000019,assay format,O=C1NC(N2CCCC2)=N/C1=C\c1ccc2c(c1)OCO2,,,CHEMBL5126517,J Med Chem,2022,"{'bei': '21.73', 'le': '0.40', 'lle': '4.86', 'sei': '9.82'}",CHEMBL5175458,,CHEMBL5175458,6.20,0,http://www.openphacts.org/units/Nanomolar,3865951,=,1,1,=,,IC50,nM,,630.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.63,6.201
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23215008,[],CHEMBL4823189,Inhibition of DYRK1A (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(-c2cnc3[nH]nc(-c4cccc(NC(C)=O)c4)c3c2)cc1OC,,,CHEMBL4819156,Bioorg Med Chem Lett,2021,"{'bei': '15.96', 'le': '0.29', 'lle': '1.93', 'sei': '6.96'}",CHEMBL4871570,,CHEMBL4871570,6.20,0,http://www.openphacts.org/units/Nanomolar,3610662,=,1,1,=,,IC50,nM,,632.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,632.0,6.199
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23214994,[],CHEMBL4823189,Inhibition of DYRK1A (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)Nc1cccc(-c2n[nH]c3ncc(Br)cc23)c1,,,CHEMBL4819156,Bioorg Med Chem Lett,2021,"{'bei': '18.71', 'le': '0.42', 'lle': '2.85', 'sei': '8.77'}",CHEMBL4866954,,CHEMBL4866954,6.20,0,http://www.openphacts.org/units/Nanomolar,3610641,=,1,1,=,,IC50,nM,,638.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,638.0,6.195
,,12603666,[],CHEMBL3072655,Inhibition of Homo sapiens (human) recombinant GST-tagged DYRK1A expressed in Escherichia coli using KKISGRLSPIMTEQ and [gamma33P]ATP as substrate after 30 min by scintillation counting,B,,,BAO_0000190,BAO_0000019,assay format,CCC[C@H](O)Nc1nc(Nc2ccc(-c3ncccn3)cc2)c2ncn(C(C)C)c2n1,,,CHEMBL3045291,Med Chem Res,2013,"{'bei': '14.78', 'le': '0.27', 'lle': '2.05', 'sei': '5.44'}",CHEMBL2295948,,CHEMBL2295948,6.19,0,http://www.openphacts.org/units/Nanomolar,1835813,=,1,1,=,,IC50,nM,,650.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.65,6.187
,,18193128,[],CHEMBL4041963,Inhibition of GST tagged recombinant human DYRK1A expressed in Escherichia coli using woodtide as substrate after 30 mins by [gamma-33P]ATP based scintillation counting analysis,B,,,BAO_0000190,BAO_0000019,assay format,O=Cc1cccc(-c2cnc3ccc(Cl)nn23)c1,,,CHEMBL4041493,Eur J Med Chem,2017,"{'bei': '24.01', 'le': '0.47', 'lle': '3.33', 'sei': '13.09'}",CHEMBL4076448,,CHEMBL4076448,6.19,0,http://www.openphacts.org/units/Nanomolar,3018124,=,1,1,=,,IC50,nM,,650.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.65,6.187
